age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
40,nan,nan,nan,nan,nan,nan,nan,nan,nan,151,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
56,nan,nan,nan,nan,nan,nan,nan,nan,nan,307,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
45,nan,nan,nan,nan,nan,nan,nan,nan,nan,198,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
59,nan,nan,nan,nan,nan,nan,nan,nan,nan,139,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
41,nan,nan,nan,nan,nan,nan,nan,nan,nan,217,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
24,nan,nan,nan,nan,nan,nan,nan,nan,nan,380,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
25,nan,nan,nan,nan,nan,nan,nan,nan,nan,50,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
41,nan,nan,nan,nan,nan,nan,nan,nan,nan,55,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
25,nan,nan,nan,nan,nan,nan,nan,nan,nan,222,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
29,nan,nan,nan,nan,nan,nan,nan,nan,nan,137,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
57,nan,nan,nan,nan,nan,nan,nan,nan,nan,293,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
35,nan,nan,nan,nan,nan,nan,nan,nan,nan,146,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
54,nan,nan,nan,nan,nan,nan,nan,nan,nan,174,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
35,nan,nan,nan,nan,nan,nan,nan,nan,nan,312,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
46,nan,nan,nan,nan,nan,nan,nan,nan,nan,440,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
39,nan,nan,nan,nan,nan,nan,nan,nan,nan,195,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
30,nan,nan,nan,nan,nan,nan,nan,nan,nan,38,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
55,nan,nan,nan,nan,nan,nan,nan,nan,nan,262,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
55,nan,nan,nan,nan,nan,nan,nan,nan,nan,342,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
41,nan,nan,nan,nan,nan,nan,nan,nan,nan,181,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
37,nan,nan,nan,nan,nan,nan,nan,nan,nan,172,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
35,nan,nan,nan,nan,nan,nan,nan,nan,nan,99,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
59,nan,nan,nan,nan,nan,nan,nan,nan,nan,93,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
39,nan,nan,nan,nan,nan,nan,nan,nan,nan,233,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
54,nan,nan,nan,nan,nan,nan,nan,nan,nan,255,2,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
55,nan,nan,nan,nan,nan,nan,nan,nan,nan,362,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
46,nan,nan,nan,nan,nan,nan,nan,nan,nan,348,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
59,nan,nan,nan,nan,nan,nan,nan,nan,nan,386,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
49,nan,nan,nan,nan,nan,nan,nan,nan,nan,73,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
54,nan,nan,nan,nan,nan,nan,nan,nan,nan,230,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
54,nan,nan,nan,nan,nan,nan,nan,nan,nan,208,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
55,nan,nan,nan,nan,nan,nan,nan,nan,nan,336,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
34,nan,nan,nan,nan,nan,nan,nan,nan,nan,365,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
52,nan,nan,nan,nan,nan,nan,nan,nan,nan,1666,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
41,nan,nan,nan,nan,nan,nan,nan,nan,nan,577,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
56,nan,nan,nan,nan,nan,nan,nan,nan,nan,137,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
58,nan,nan,nan,nan,nan,nan,nan,nan,nan,366,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
32,nan,nan,nan,nan,nan,nan,nan,nan,nan,314,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
38,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
57,nan,nan,nan,nan,nan,nan,nan,nan,nan,212,1,999,0,nan,1.1,93.994,-36.4,4.857,5191.0,nan
